ID,SEQ_ID,Species,Host_collected,Location,Country,Date,Site,Approximate.X,Approximate.Y,COI_haplogroup,Haplotype,Host_read,reads_cerana,reads_mellifera,Mean_Read_Depth,Total_reads,Mapped,Mapping_rate,Mapped_in_pair,Platform
V789_1,VJ789_1,V. jacobsoni,A. cerana,"Giong Trom Town, Ben Tre",Viet Nam,08/2004,VNM07,10.15718,106.50445,VJ Laos L1,VJ Laos L1-4,cerana,859,4,23.6,71558906,58473472,81.7,56649683,HiSeq 4000
V333_1,VJ333_1,V. jacobsoni,A. cerana,"Parung Panjang, Java",Indonesia,06/1998,IDN01,-6.34814,106.56935,VJ Java 1,VJ Java 1-1,cerana,21,10,17.9,46019459,44634047,97,42592178,HiSeq 4000
V341_1,VJ341_1,V. jacobsoni,A. cerana,"Sukabumi, West Java",Indonesia,06/1998,IDN02,-6.92387,106.93156,VJ Java 1,VJ Java 1-2,cerana,119,4,24.8,63057170,61695629,97.8,59251392,HiSeq 4000
V347_1,VJ347_1,V. jacobsoni,A. cerana,Cililin,Indonesia,06/1998,IDN04,-6.98345,107.43608,VJ Java 1,VJ Java 1-3,cerana,61,4,18.2,48579482,45809925,94.3,42898293,HiSeq 4000
V363_1,VJ363_1,V. jacobsoni,A. cerana,"Johor, East Java",Indonesia,06/1998,IDN05,-7.22385,112.7332,VJ Java 1,VJ Java 1-4,cerana,5115,64,21.3,54026529,52825280,97.8,50723792,HiSeq 4000
V565_2,VJ565_2,V. jacobsoni,A. cerana,"Gunung Arca, Sukabumi",Indonesia,04/2002,IDN03,-6.92656,106.95533,VJ Java 1,VJ Java 1-5,cerana,714,28,42.2,107959838,106090376,98.3,102687165,HiSeq 4000
V325_1,VJ325_1,V. jacobsoni,A. cerana,"Kuta, Lombok",Indonesia,04/1998,IDN06,-8.88027,116.28361,VJ Lombok 2,VJ Lombok 2-1,cerana,152,0,24.7,62599084,61346630,98,58922351,HiSeq 4000
V950_1,VJ950_1,V. jacobsoni,A. cerana,Aiyura,Papua New Guinea,05/1997,PNG01,-6.34334,145.90809,VJ PNG 1,VJ PNG 1-1,cerana,475,68,25.8,66335209,64182154,96.8,61215275,HiSeq 4000
V854_1,VJ854_1,V. jacobsoni,A. cerana,Goroka,Papua New Guinea,05/2008,PNG04,-6.08347,145.38626,VJ PNG 1,VJ PNG 1-1,cerana,5230,12,16.7,44613684,42039605,94.2,39498649,HiSeq 4000
V853_4,VJ853_4,V. jacobsoni,A. cerana,Daru,Papua New Guinea,06/2008,PNG11,-9.07819,143.20997,VJ PNG 1,VJ PNG 1-2,cerana,200,60,10.4,35177854,32209884,91.6,29491225,HiSeq 4000
V983_1,VJ983_1,V. jacobsoni,A. cerana,Asaro,Papua New Guinea,11/2015,PNG05,-6.012,145.325,VJ PNG 1,VJ PNG 1-1,cerana,284,102,19.1,50283170,47881277,95.2,44989750,HiSeq 4000
V847,VJ847,V. jacobsoni,A. mellifera,"Wabag, Enga Province",Papua New Guinea,06/2008,PNG10,-5.48267,143.66373,VJ PNG 1,VJ PNG 1-1,mellifera,23,115346,22.5,64504980,56218551,87.2,52755225,HiSeq 4000
V852_3,VJ852_3,V. jacobsoni,A. mellifera,"Goroka, Eastern Highlands Province",Papua New Guinea,05/2008,PNG04,-6.08347,145.38626,VJ PNG 1,VJ PNG 1-1,mellifera,4,2288,20.9,55816067,54523224,97.7,51390551,HiSeq 4000
V857_2,VJ857_2,V. jacobsoni,A. mellifera,"Benabena, Eastern Highlands Province",Papua New Guinea,05/2008,PNG03,-6.128125,145.42904,VJ PNG 1,VJ PNG 1-1,mellifera,20,429,18.8,57477057,46759609,81.4,44551404,HiSeq 4000
V856_1,VJ856_1,V. jacobsoni,A. mellifera,"Henganofi Border, Eastern Highlands Province",Papua New Guinea,05/2008,PNG02,-6.26035,145.59681,VJ PNG 1,VJ PNG 1-1,mellifera,15,9803,13.6,58525652,37045620,63.3,31803798,HiSeq 4000
V952_1,VJ952_1,V. jacobsoni,A. mellifera,"Amayufa, Eastern Highlands Province",Papua New Guinea,05/2014,PNG06,-5.975581,145.27676,VJ PNG 1,VJ PNG 1-1,mellifera,18,36,22.3,61969612,55519034,89.6,52870625,HiSeq 4000
V953_2,VJ953_2,V. jacobsoni,A. mellifera,"Benabena, Eastern Highlands Province",Papua New Guinea,05/2014,PNG03,-6.128125,145.42904,VJ PNG 1,VJ PNG 1-1,mellifera,22,26196,22.3,62054570,56103596,90.4,53032044,HiSeq 4000
V954_2,VJ954_2,V. jacobsoni,A. mellifera,Windy Lodge,Papua New Guinea,06/2014,PNG07,-6.035146,144.960324,VJ PNG 1,VJ PNG 1-1,mellifera,14,159,22.5,58553267,56180797,96,52846232,HiSeq 4000
V955_1,VJ955_1,V. jacobsoni,A. mellifera,Donakanage,Papua New Guinea,06/2014,PNG08,-5.88224,144.82077,VJ PNG 1,VJ PNG 1-1,mellifera,15,460,24.7,64865555,61577522,94.9,58553870,HiSeq 4000
V956_4,VJ956_4,V. jacobsoni,A. mellifera,Minj,Papua New Guinea,06/2014,PNG09,-5.82664,144.407411,VJ PNG 1,VJ PNG 1-2,cerana,1444,69,17.1,47824500,45966716,96.1,42702569,HiSeq 4000
Mom #1,Mom #1,V. destructor,A. mellifera,"OIST Ecology and Evolution experimental apiary, Okinawa",Japan,02/2018,JPN01,26.456448,127.823864,VD Korea K1,VD Korea K1-1/K1-2,mellifera,0,7448,20.2,52944228,50821794,96,52944228,HiSeq 4000
Son #1,Son #1,V. destructor,A. mellifera,"OIST Ecology and Evolution experimental apiary, Okinawa",Japan,02/2018,JPN01,26.456448,127.823864,VD Korea K1,VD Korea K1-1/K1-2,mellifera,0,341,19.8,51620028,49266370,95.4,51620028,HiSeq 4000
Mom #2,Mom #2,V. destructor,A. mellifera,"OIST Ecology and Evolution experimental apiary, Okinawa",Japan,02/2018,JPN01,26.456448,127.823864,VD Korea K1,VD Korea K1-1/K1-2,mellifera,0,50765,24.8,65220912,62435130,95.7,65220912,HiSeq 4000
Son #2,Son #2,V. destructor,A. mellifera,"OIST Ecology and Evolution experimental apiary, Okinawa",Japan,02/2018,JPN01,26.456448,127.823864,VD Korea K1,VD Korea K1-1/K1-2,mellifera,0,422,18.7,48499085,46511492,95.9,48499085,HiSeq 4000
Mom #7,Mom #7,V. destructor,A. mellifera,"OIST Ecology and Evolution experimental apiary, Okinawa",Japan,02/2018,JPN01,26.456448,127.823864,VD Korea K1,VD Korea K1-1/K1-2,mellifera,0,563,16.3,43293860,41401282,95.6,43293860,HiSeq 4000
Son #7,Son #7,V. destructor,A. mellifera,"OIST Ecology and Evolution experimental apiary, Okinawa",Japan,02/2018,JPN01,26.456448,127.823864,VD Korea K1,VD Korea K1-1/K1-2,mellifera,0,660,18.8,49134877,46899128,95.5,49134877,HiSeq 4000
Mom #15,Mom #15,V. destructor,A. mellifera,"OIST Ecology and Evolution experimental apiary, Okinawa",Japan,05/2018,JPN01,26.456448,127.823864,VD Korea K1,VD Korea K1-1/K1-2,mellifera,0,100,22.5,59835146,56138955,93.8,59835146,HiSeq 4000
Son #15,Son #15,V. destructor,A. mellifera,"OIST Ecology and Evolution experimental apiary, Okinawa",Japan,05/2018,JPN01,26.456448,127.823864,VD Korea K1,VD Korea K1-1/K1-2,mellifera,1,193,21.4,57025270,53922121,94.6,57025270,HiSeq 4000
Mom #17,Mom #17,V. destructor,A. mellifera,"OIST Ecology and Evolution experimental apiary, Okinawa",Japan,05/2018,JPN01,26.456448,127.823864,VD Korea K1,VD Korea K1-1/K1-2,mellifera,2,40283,22.1,58014781,55352009,95.4,58014781,HiSeq 4000
Son #17,Son #17,V. destructor,A. mellifera,"OIST Ecology and Evolution experimental apiary, Okinawa",Japan,05/2018,JPN01,26.456448,127.823864,VD Korea K1,VD Korea K1-1/K1-2,mellifera,2,949,33,87139528,82953771,95.2,87139528,HiSeq 4000
Mom #19,Mom #19,V. destructor,A. mellifera,"OIST Ecology and Evolution experimental apiary, Okinawa",Japan,05/2018,JPN01,26.456448,127.823864,VD Korea K1,VD Korea K1-1/K1-2,mellifera,0,24181,18.1,47748745,45343415,95,47748745,HiSeq 4000
Son #19,Son #19,V. destructor,A. mellifera,"OIST Ecology and Evolution experimental apiary, Okinawa",Japan,05/2018,JPN01,26.456448,127.823864,VD Korea K1,VD Korea K1-1/K1-2,mellifera,5,498,24.5,65304925,61543197,94.2,65304925,HiSeq 4000
