scaffold,start,end,mid,sites,pi_VDESAC,pi_VDESAM,pi_VJACAC,pi_VJACAM,pi_VJACAN,dxy_VDESAC_VDESAM,dxy_VDESAC_VJACAC,dxy_VDESAC_VJACAM,dxy_VDESAC_VJACAN,dxy_VDESAM_VJACAC,dxy_VDESAM_VJACAM,dxy_VDESAM_VJACAN,dxy_VJACAC_VJACAM,dxy_VJACAC_VJACAN,dxy_VJACAM_VJACAN,Fst_VDESAC_VDESAM,Fst_VDESAC_VJACAC,Fst_VDESAC_VJACAM,Fst_VDESAC_VJACAN,Fst_VDESAM_VJACAC,Fst_VDESAM_VJACAM,Fst_VDESAM_VJACAN,Fst_VJACAC_VJACAM,Fst_VJACAC_VJACAN,Fst_VJACAM_VJACAN
NW_019211454.1,560001,610000,585766,16574,0.0028,0.0013,0.0022,0.0015,0.0012,0.0028,0.0072,0.0072,0.0071,0.0073,0.0073,0.0072,0.002,0.0022,0.0018,0.1667,0.4937,0.5258,0.3787,0.6212,0.6751,0.5559,0.0421,0.0607,0.1027
NW_019211454.1,580001,630000,604302,17538,0.0026,0.0011,0.0021,0.0015,0.0013,0.0026,0.0061,0.0061,0.0061,0.0063,0.0063,0.0063,0.0021,0.0023,0.0021,0.1806,0.4454,0.481,0.3429,0.5952,0.6555,0.5452,0.053,0.0658,0.1426
NW_019211454.1,600001,650000,624797,16576,0.0024,0.0005,0.0022,0.0016,0.0011,0.0021,0.0066,0.0067,0.0065,0.0067,0.0067,0.0066,0.0022,0.0022,0.002,0.2028,0.4908,0.531,0.4034,0.6564,0.7371,0.7039,0.0588,0.0571,0.1288
NW_019211454.1,620001,670000,644666,16312,0.0023,0.0004,0.0022,0.0016,0.0009,0.0019,0.0068,0.0067,0.0066,0.0066,0.0066,0.0064,0.0022,0.002,0.0018,0.1946,0.5025,0.543,0.422,0.6697,0.7625,0.7738,0.063,0.0497,0.116
NW_019211454.1,640001,690000,664914,15899,0.0023,0.0005,0.002,0.0014,0.0012,0.0021,0.0066,0.0067,0.0065,0.0068,0.0069,0.0067,0.0021,0.002,0.0018,0.2243,0.5149,0.5579,0.4083,0.6911,0.7753,0.7256,0.0854,0.0471,0.1168
NW_019211454.1,660001,710000,685942,17286,0.0023,0.0004,0.0017,0.0011,0.001,0.0023,0.0064,0.0066,0.0065,0.0068,0.0071,0.0069,0.0018,0.0018,0.0014,0.2701,0.527,0.5836,0.4182,0.7201,0.817,0.755,0.1005,0.0604,0.1204
NW_019211454.1,680001,730000,705966,19197,0.0024,0.0004,0.0017,0.0011,0.0008,0.0023,0.0069,0.0069,0.0069,0.0072,0.0072,0.0072,0.0017,0.0017,0.0013,0.257,0.5504,0.5821,0.4309,0.7475,0.8288,0.7965,0.0966,0.0726,0.128
NW_019211454.1,700001,750000,724945,20253,0.0022,0.0003,0.0015,0.0011,0.0007,0.002,0.0065,0.0065,0.0065,0.0066,0.0066,0.0065,0.0016,0.0017,0.0012,0.2516,0.5631,0.5811,0.4395,0.7535,0.8221,0.8102,0.0877,0.0875,0.1091
NW_019211454.1,720001,770000,744512,20120,0.002,0.0003,0.0015,0.001,0.0008,0.0018,0.006,0.0058,0.0058,0.0061,0.0059,0.0059,0.0015,0.0017,0.0011,0.2466,0.5493,0.5782,0.4291,0.7349,0.8215,0.7961,0.0841,0.0805,0.0867
NW_019211454.1,740001,790000,764666,19175,0.0016,0.0003,0.0016,0.0008,0.0007,0.0013,0.0046,0.0045,0.0044,0.0044,0.0043,0.0042,0.0016,0.0017,0.001,0.1856,0.4715,0.5555,0.3988,0.6359,0.791,0.7484,0.1222,0.0741,0.1213
NW_019211454.1,760001,810000,784581,18282,0.0019,0.0003,0.0018,0.0008,0.0008,0.0017,0.0051,0.0051,0.0048,0.0052,0.0051,0.0048,0.0018,0.0017,0.0013,0.2124,0.4727,0.5586,0.3697,0.6656,0.8227,0.7545,0.1534,0.0591,0.1943
NW_019211454.1,780001,830000,804197,17857,0.0025,0.0003,0.002,0.0009,0.001,0.0022,0.0067,0.0067,0.0065,0.0065,0.0065,0.0063,0.0022,0.002,0.0018,0.2224,0.4968,0.5734,0.3868,0.6856,0.8343,0.7683,0.1659,0.0494,0.2419
NW_019211454.1,800001,850000,824292,16800,0.003,0.0005,0.0021,0.0011,0.0012,0.0027,0.0081,0.0084,0.0081,0.0081,0.0084,0.0082,0.0024,0.002,0.0022,0.2328,0.5277,0.5845,0.4016,0.7246,0.8316,0.7646,0.183,0.0435,0.2393
NW_019211454.1,820001,870000,844934,15688,0.0028,0.0005,0.0022,0.0014,0.0016,0.0024,0.0077,0.008,0.0083,0.0076,0.0078,0.0081,0.0026,0.0024,0.0024,0.2141,0.5152,0.5739,0.416,0.695,0.8033,0.7456,0.1677,0.0476,0.19
NW_019211454.1,840001,890000,865898,16737,0.0027,0.0004,0.0021,0.0013,0.0014,0.0023,0.0072,0.0073,0.0076,0.0071,0.0072,0.0075,0.002,0.0021,0.0017,0.2133,0.5029,0.5505,0.4037,0.6994,0.8075,0.7742,0.0765,0.0413,0.0871
NW_019211454.1,860001,910000,885588,17515,0.0026,0.0003,0.0022,0.0014,0.0011,0.0022,0.0076,0.0076,0.0078,0.0072,0.0073,0.0074,0.002,0.0019,0.0013,0.2122,0.5198,0.5658,0.4267,0.7005,0.8089,0.798,0.0499,0.0349,0.0243
NW_019211454.1,880001,930000,904952,17750,0.0025,0.0004,0.0024,0.0014,0.0011,0.0022,0.0073,0.0074,0.0075,0.0072,0.0072,0.0073,0.0022,0.0021,0.0014,0.2344,0.4969,0.5711,0.4346,0.6678,0.8024,0.7896,0.0522,0.0334,0.0513
NW_019211454.1,900001,950000,926218,18549,0.0021,0.0003,0.0023,0.0013,0.0008,0.002,0.0062,0.0063,0.0063,0.006,0.0062,0.0062,0.0022,0.002,0.0014,0.244,0.4634,0.5589,0.4334,0.6316,0.7867,0.7891,0.079,0.0509,0.0827
NW_019211454.1,920001,970000,943908,18497,0.0022,0.0004,0.0016,0.0013,0.0006,0.0021,0.0054,0.0056,0.0055,0.0054,0.0057,0.0055,0.0017,0.0015,0.0013,0.2524,0.4757,0.5113,0.3876,0.6817,0.7652,0.7645,0.0779,0.059,0.1028
NW_019211454.1,940001,990000,964734,18111,0.0024,0.0004,0.0015,0.0014,0.001,0.0023,0.0065,0.0067,0.0067,0.0067,0.0069,0.0069,0.0017,0.0016,0.0016,0.249,0.5442,0.5511,0.4122,0.7413,0.7849,0.755,0.0682,0.0571,0.0946
NW_019211454.1,960001,1010000,985143,17500,0.0025,0.0004,0.0014,0.0012,0.001,0.0022,0.007,0.0072,0.0071,0.0071,0.0072,0.0071,0.0015,0.0015,0.0014,0.2209,0.5714,0.5767,0.4184,0.7672,0.8153,0.7759,0.0686,0.045,0.0869
NW_019211454.1,980001,1030000,1005578,18540,0.002,0.0003,0.0015,0.0012,0.0008,0.0017,0.0068,0.0069,0.0067,0.0068,0.0069,0.0067,0.0016,0.0015,0.0013,0.2052,0.598,0.6191,0.4773,0.7575,0.8197,0.799,0.0854,0.0601,0.0899
NW_019211454.1,1000001,1050000,1024856,18760,0.0023,0.0004,0.0019,0.0014,0.0008,0.002,0.0076,0.0074,0.0073,0.0076,0.0074,0.0073,0.0019,0.0017,0.0013,0.2186,0.5674,0.5928,0.4567,0.7331,0.8068,0.7951,0.075,0.0506,0.0753
NW_019211454.1,1020001,1070000,1045072,18451,0.0025,0.0004,0.0019,0.0016,0.0009,0.0023,0.0077,0.0078,0.0075,0.0078,0.0078,0.0076,0.0021,0.0018,0.0016,0.2327,0.5603,0.572,0.4454,0.7327,0.7851,0.7815,0.0736,0.0558,0.0883
NW_019211454.1,1040001,1090000,1064668,17923,0.0023,0.0005,0.0019,0.0016,0.0006,0.0022,0.008,0.0081,0.0078,0.0081,0.0082,0.0079,0.002,0.0017,0.0014,0.2358,0.5854,0.6006,0.4819,0.7413,0.7916,0.7881,0.0729,0.0593,0.0803
NW_019211454.1,1060001,1110000,1084333,17477,0.0025,0.0005,0.0019,0.0015,0.0009,0.0024,0.0081,0.0082,0.0079,0.0083,0.0084,0.0081,0.0021,0.0019,0.0016,0.2526,0.5768,0.596,0.4601,0.7419,0.7991,0.7777,0.0966,0.0628,0.0983
NW_019211454.1,1080001,1130000,1105159,17316,0.0026,0.0005,0.0022,0.0014,0.001,0.0024,0.0087,0.0089,0.0089,0.0085,0.0087,0.0088,0.0023,0.0023,0.0016,0.2192,0.5672,0.6182,0.4762,0.7265,0.8231,0.7968,0.1129,0.0853,0.1236
NW_019211454.1,1100001,1150000,1124278,16248,0.0026,0.0004,0.002,0.0012,0.0009,0.0023,0.0077,0.0079,0.008,0.0076,0.0078,0.0079,0.0021,0.002,0.0016,0.2288,0.5482,0.6021,0.4519,0.7292,0.8346,0.8103,0.1191,0.0757,0.1645
NW_019211454.1,1120001,1170000,1146230,17002,0.0022,0.0004,0.0017,0.001,0.0007,0.002,0.0064,0.0067,0.0065,0.0064,0.0068,0.0065,0.0018,0.0016,0.0016,0.2076,0.5318,0.5945,0.4341,0.7163,0.822,0.7834,0.1308,0.0655,0.2234
NW_019211454.1,1140001,1190000,1165576,19036,0.0019,0.0003,0.0014,0.0007,0.0006,0.0018,0.0054,0.0057,0.0055,0.0055,0.0057,0.0055,0.0014,0.0014,0.0012,0.2323,0.5298,0.5986,0.4258,0.7177,0.8368,0.7834,0.1216,0.0611,0.2072
NW_019211454.1,1160001,1210000,1185249,19508,0.0017,0.0003,0.0017,0.0008,0.0007,0.0016,0.0059,0.0062,0.0058,0.0058,0.0061,0.0057,0.0017,0.0016,0.0013,0.2121,0.5473,0.6423,0.4687,0.698,0.838,0.7798,0.1368,0.0605,0.1964
NW_019211454.1,1180001,1230000,1203748,18601,0.0019,0.0003,0.0016,0.0008,0.0007,0.0016,0.0062,0.0063,0.006,0.0059,0.0061,0.0057,0.0017,0.0014,0.0012,0.1979,0.5577,0.6381,0.4575,0.7082,0.8411,0.7754,0.1425,0.0449,0.1821
NW_019211454.1,1200001,1250000,1224837,17298,0.002,0.0004,0.0017,0.0009,0.0007,0.0017,0.0062,0.0064,0.006,0.006,0.0062,0.0057,0.0018,0.0015,0.0013,0.1919,0.5483,0.62,0.4433,0.6979,0.8183,0.7495,0.1534,0.0424,0.1825
NW_019211454.1,1220001,1270000,1245026,17202,0.0019,0.0003,0.0015,0.001,0.0007,0.0017,0.005,0.0053,0.0049,0.0048,0.0051,0.0047,0.0017,0.0014,0.0014,0.2333,0.4959,0.5639,0.3979,0.6699,0.7892,0.7414,0.1313,0.0483,0.1973
NW_019211454.1,1240001,1290000,1265414,17724,0.0016,0.0003,0.0015,0.001,0.0007,0.0012,0.0054,0.0057,0.0052,0.0049,0.0053,0.0048,0.0017,0.0014,0.0014,0.1323,0.553,0.6175,0.466,0.6808,0.7856,0.748,0.1141,0.0538,0.1748
NW_019211454.1,1260001,1310000,1285705,18100,0.0022,0.0004,0.0016,0.001,0.0009,0.0018,0.0066,0.0067,0.0064,0.0064,0.0066,0.0062,0.0016,0.0017,0.0013,0.1746,0.5523,0.5947,0.4198,0.7254,0.8169,0.7581,0.0884,0.0635,0.114
NW_019211454.1,1280001,1330000,1304404,18331,0.0022,0.0004,0.0018,0.0011,0.0012,0.0019,0.007,0.007,0.0066,0.0069,0.0069,0.0065,0.0017,0.0019,0.0015,0.1993,0.5562,0.6041,0.4197,0.7174,0.8145,0.7337,0.0859,0.0571,0.1128
NW_019211454.1,1300001,1350000,1325367,18353,0.0026,0.0006,0.0016,0.001,0.0012,0.0025,0.007,0.0072,0.0071,0.0071,0.0072,0.0071,0.0017,0.0019,0.0015,0.2449,0.5492,0.5768,0.3974,0.7332,0.8042,0.7107,0.0994,0.069,0.1187
NW_019211454.1,1320001,1370000,1345014,18073,0.0026,0.0006,0.0014,0.0009,0.0008,0.0024,0.0072,0.0072,0.0074,0.007,0.0071,0.0072,0.0014,0.0015,0.0011,0.2194,0.5756,0.5957,0.4303,0.747,0.8101,0.7256,0.0913,0.0605,0.1008
NW_019211454.1,1340001,1390000,1365375,18687,0.0024,0.0005,0.0017,0.0011,0.0008,0.0023,0.0067,0.0066,0.0067,0.0068,0.0068,0.0068,0.0018,0.0017,0.0012,0.2379,0.5309,0.5668,0.4243,0.7097,0.7928,0.7441,0.1028,0.0634,0.0962
NW_019211454.1,1360001,1410000,1385243,18217,0.0025,0.0005,0.0018,0.0012,0.0008,0.0023,0.0069,0.0068,0.0068,0.0071,0.007,0.007,0.0019,0.0018,0.0013,0.2247,0.5305,0.5642,0.4165,0.7136,0.7971,0.7491,0.1048,0.0573,0.0932
NW_019211454.1,1380001,1430000,1404947,18477,0.0023,0.0005,0.0017,0.0011,0.0007,0.002,0.0066,0.0065,0.0064,0.0067,0.0065,0.0065,0.0018,0.0017,0.0011,0.2019,0.5409,0.571,0.4227,0.7172,0.7963,0.7533,0.1028,0.0689,0.0767
NW_019211454.1,1400001,1450000,1425276,18367,0.0022,0.0004,0.0015,0.0012,0.0008,0.0019,0.0059,0.0059,0.0058,0.0059,0.0059,0.0058,0.0016,0.0016,0.0013,0.203,0.5295,0.5411,0.394,0.7271,0.7876,0.7614,0.0934,0.0726,0.0915
NW_019211454.1,1420001,1470000,1444939,18357,0.0024,0.0005,0.0015,0.0012,0.001,0.0022,0.0064,0.0066,0.0066,0.0065,0.0068,0.0067,0.0017,0.0017,0.0014,0.2179,0.5329,0.5561,0.4024,0.7271,0.7907,0.737,0.0901,0.0682,0.0883
NW_019211454.1,1440001,1490000,1465350,18581,0.0023,0.0006,0.0013,0.001,0.0009,0.0022,0.006,0.0063,0.0064,0.0061,0.0063,0.0065,0.0014,0.0014,0.0012,0.2239,0.5462,0.5657,0.4114,0.7281,0.7806,0.7033,0.0838,0.0516,0.0918
NW_019211454.1,1460001,1510000,1485689,18576,0.0021,0.0005,0.0012,0.0008,0.0006,0.0021,0.0057,0.0059,0.0059,0.0059,0.0061,0.0061,0.0013,0.0012,0.0009,0.2433,0.558,0.5882,0.4292,0.7442,0.8098,0.7397,0.0977,0.051,0.085
NW_019211454.1,1480001,1530000,1505707,19267,0.0013,0.0004,0.0011,0.0006,0.0005,0.0013,0.0049,0.005,0.0049,0.0052,0.0053,0.0052,0.0011,0.001,0.0008,0.2223,0.6018,0.6554,0.5031,0.7448,0.8252,0.7572,0.112,0.0466,0.099
NW_019211454.1,1500001,1550000,1524929,19702,0.0014,0.0004,0.0012,0.0007,0.0004,0.0014,0.0051,0.0053,0.005,0.0053,0.0055,0.0052,0.0012,0.0011,0.0008,0.2268,0.5984,0.6581,0.4983,0.7419,0.8296,0.765,0.1296,0.0574,0.1372
NW_019211454.1,1520001,1570000,1544849,19749,0.0017,0.0004,0.001,0.0007,0.0003,0.0015,0.0048,0.0049,0.0046,0.0047,0.0049,0.0045,0.001,0.0008,0.0008,0.2073,0.5788,0.5996,0.4317,0.7523,0.8135,0.7557,0.1096,0.0489,0.1516
NW_019211454.1,1540001,1590000,1565098,19848,0.0018,0.0003,0.0011,0.0009,0.0005,0.0015,0.0047,0.0048,0.0045,0.0045,0.0046,0.0042,0.0012,0.001,0.0011,0.1914,0.5377,0.5508,0.3824,0.7298,0.79,0.7447,0.0897,0.0347,0.1561
NW_019211454.1,1560001,1610000,1584766,19955,0.0018,0.0003,0.001,0.0008,0.0006,0.0015,0.0048,0.005,0.0048,0.0046,0.0048,0.0046,0.0012,0.0011,0.0011,0.1811,0.556,0.5645,0.3987,0.7496,0.802,0.75,0.122,0.0615,0.1572
NW_019211454.1,1580001,1630000,1604453,18989,0.0017,0.0004,0.001,0.0009,0.0007,0.0015,0.0057,0.0059,0.0058,0.0058,0.006,0.0059,0.0013,0.0011,0.0011,0.1891,0.627,0.6331,0.4782,0.7788,0.8142,0.7544,0.1241,0.06,0.1144
NW_019211454.1,1600001,1650000,1625572,19361,0.002,0.0005,0.001,0.0009,0.0007,0.0018,0.0063,0.0064,0.0061,0.0066,0.0066,0.0064,0.0012,0.0013,0.0011,0.2012,0.6366,0.6158,0.4542,0.7973,0.8071,0.737,0.099,0.1104,0.119
NW_019211454.1,1620001,1670000,1644614,19196,0.002,0.0005,0.001,0.0009,0.0005,0.0019,0.0059,0.0059,0.0056,0.0061,0.0061,0.0058,0.0011,0.0012,0.001,0.212,0.6033,0.5893,0.426,0.7832,0.8055,0.7448,0.0889,0.1131,0.1175
NW_019211454.1,1640001,1690000,1664166,18226,0.0021,0.0005,0.0009,0.0007,0.0004,0.0021,0.0052,0.0053,0.0051,0.0055,0.0055,0.0053,0.0009,0.001,0.0008,0.2436,0.5604,0.5557,0.382,0.771,0.8092,0.7308,0.0525,0.0841,0.1483
NW_019211454.1,1660001,1710000,1685315,17240,0.0026,0.0006,0.001,0.0008,0.0007,0.0025,0.0058,0.0059,0.0059,0.0057,0.0059,0.0059,0.0011,0.0011,0.001,0.2352,0.5379,0.5255,0.3582,0.7563,0.7828,0.6921,0.0691,0.0653,0.116
NW_019211454.1,1680001,1730000,1704686,17458,0.0026,0.0006,0.0012,0.001,0.0008,0.0023,0.0064,0.0064,0.0066,0.0062,0.0062,0.0063,0.0014,0.0015,0.0012,0.1997,0.5549,0.5499,0.3947,0.747,0.7853,0.7152,0.0985,0.0946,0.1328
NW_019211454.1,1700001,1750000,1725111,17047,0.0023,0.0006,0.0011,0.0011,0.0006,0.0023,0.0059,0.006,0.0058,0.006,0.0062,0.006,0.0014,0.0013,0.0012,0.2182,0.5555,0.5384,0.3908,0.7415,0.753,0.6841,0.1103,0.0853,0.1021
NW_019211454.1,1720001,1770000,1745309,17308,0.002,0.0006,0.0011,0.0011,0.0006,0.0019,0.005,0.0052,0.005,0.0051,0.0053,0.0052,0.0013,0.0012,0.0012,0.2041,0.544,0.5312,0.3957,0.7241,0.7347,0.6742,0.0923,0.0818,0.1183
NW_019211454.1,1740001,1790000,1765085,16901,0.0021,0.0006,0.0014,0.0012,0.0006,0.0021,0.0055,0.0056,0.0053,0.0059,0.006,0.0057,0.0016,0.0013,0.0012,0.2439,0.5315,0.5318,0.4019,0.7151,0.7459,0.7014,0.0814,0.0591,0.0956
NW_019211454.1,1760001,1810000,1785460,16736,0.0023,0.0005,0.0013,0.0009,0.0006,0.0021,0.0057,0.0057,0.0056,0.006,0.0059,0.0059,0.0013,0.0012,0.0011,0.2171,0.5297,0.5455,0.3887,0.7302,0.7905,0.7243,0.0851,0.0529,0.1345
NW_019211454.1,1780001,1830000,1804752,17391,0.0027,0.0006,0.0015,0.0009,0.0007,0.0024,0.0066,0.0067,0.0066,0.0068,0.0069,0.0068,0.0015,0.0014,0.001,0.2061,0.5359,0.564,0.3911,0.7351,0.8074,0.7237,0.1129,0.0562,0.1033
NW_019211454.1,1800001,1850000,1824637,17249,0.0026,0.0005,0.0016,0.0009,0.0008,0.0023,0.006,0.0063,0.0061,0.0062,0.0064,0.0062,0.0017,0.0016,0.0013,0.2055,0.4971,0.5484,0.3665,0.7041,0.8008,0.709,0.1433,0.0661,0.1584
